File Name	Analysis Name	Plate Id	Position	Sample Name	Gene Name	Condition Name	Cq	Cq Mean	Cq Error	Excluded	Sample Type	Sample Type RQ	Gene Type	Condition Type	Replicate Group	Ratio	Ratio Error	Normalized Ratio	Normalized Ratio Error	Scaled Ratio	Scaled Ratio Error	Dye	Edited Call	Failure	Slope	EPF	Notes	Sample Prep Notes	Number
lzy-swb_03.lc96p	Rel Quant		E8	INF	smad2		28.85	29.1525	1.00943466025956	Unchecked	Unknown	Unknown	Target	Unknown	E5	6.25495714502875	3.99652568730308	6.91629785046292	5.21777098124744			SYBR Green I	Unchecked	None	1.1369	4.05774134051631			56
lzy-swb_03.lc96p	Rel Quant		E9	D1	smad2		32.26	30.78	1.01281785134347	Unchecked	Unknown	Unknown	Target	Unknown	E9	0.640601907900102	0.401226460978991	0.70833316614059	0.526834951197835			SYBR Green I	Unchecked	None	0.9981	2.82638941986168			57
lzy-swb_03.lc96p	Rel Quant		E10	D1	smad2		30.28	30.78	1.01281785134347	Unchecked	Unknown	Unknown	Target	Unknown	E9	2.52713020852769	1.58281063090243	2.79432533650071	2.07832743496587			SYBR Green I	Unchecked	None	1.1885	3.46094558801625			58
lzy-swb_03.lc96p	Rel Quant		E11	D1	smad2		30.57	30.78	1.01281785134347	Unchecked	Unknown	Unknown	Target	Unknown	E9	2.06694499979835	1.29458407332224	2.28548444500409	1.6998682874157			SYBR Green I	Unchecked	None	1.1152	3.64537558495176			59
lzy-swb_03.lc96p	Rel Quant		E12	D1	smad2		30.01	30.78	1.01281785134347	Unchecked	Unknown	Unknown	Target	Unknown	E9	3.04723338703647	1.9085654484943	3.36941936386717	2.5060634895863			SYBR Green I	Unchecked	None	1.2623	3.59046466368596			60
lzy-swb_03.lc96p	Rel Quant		F1	con	slug		30.44	30.245	0.304904356588533	Unchecked	Unknown	Run Calibrator	Target	Unknown	F1	1.35660432744767	0.242183510438527	0.873572895916694	0.287624741646111			SYBR Green I	Unchecked	None	1.1519	4.00455454701129			61
lzy-swb_03.lc96p	Rel Quant		F2	con	slug		29.98	30.245	0.304904356588533	Unchecked	Unknown	Run Calibrator	Target	Unknown	F1	1.86606598307361	0.333133546272077	1.20163604952685	0.395639860065866			SYBR Green I	Unchecked	None	1	3.82995504675998			62
lzy-swb_03.lc96p	Rel Quant		F3	con	slug		30.57	30.245	0.304904356588533	Unchecked	Unknown	Run Calibrator	Target	Unknown	F1	1.23970769993899	0.221314908565686	0.79829838635665	0.262840534780322			SYBR Green I	Unchecked	None	0.9432	3.65382553189123			63
lzy-swb_03.lc96p	Rel Quant		F4	con	slug		29.99	30.245	0.304904356588533	Unchecked	Unknown	Run Calibrator	Target	Unknown	F1	1.85317612378074	0.330832424781126	1.19333574303172	0.392906975927171			SYBR Green I	Unchecked	None	1.0248	3.87512649464391			64
lzy-swb_03.lc96p	Rel Quant		F5	INF	slug		27.68	28.3275	0.691248869800161	Unchecked	Unknown	Unknown	Target	Unknown	F5	14.074385214759	8.99265026755423	9.06307108236641	6.3102480366611			SYBR Green I	Unchecked	None	1.1157	4.02964954205259			65
lzy-swb_03.lc96p	Rel Quant		F6	INF	slug		28.91	28.3275	0.691248869800161	Unchecked	Unknown	Unknown	Target	Unknown	F5	6.00015595714328	3.83372369379159	3.86374531569939	2.69016882588375			SYBR Green I	Unchecked	None	1.0069	3.88780330389928			66
lzy-swb_03.lc96p	Rel Quant		F7	INF	slug		27.78	28.3275	0.691248869800161	Unchecked	Unknown	Unknown	Target	Unknown	F5	13.131865740968	8.39043938098038	8.45614432449105	5.88766960298517			SYBR Green I	Unchecked	None	1.0471	3.85174528568301			67
lzy-swb_03.lc96p	Rel Quant		F8	INF	slug		28.94	28.3275	0.691248869800161	Unchecked	Unknown	Unknown	Target	Unknown	F5	5.87667453311323	3.75482680103941	3.78423058690239	2.63480595200613			SYBR Green I	Unchecked	None	1.0567	4.02165852929877			68
lzy-swb_03.lc96p	Rel Quant		F9	D1	slug		29.62	29.22	0.314006369362153	Unchecked	Unknown	Unknown	Target	Unknown	F9	3.99307453038957	2.50097157453892	2.57130366647615	1.76058656151029			SYBR Green I	Unchecked	None	1.0832	3.94941621848149			69
lzy-swb_03.lc96p	Rel Quant		F10	D1	slug		28.95	29.22	0.314006369362153	Unchecked	Unknown	Unknown	Target	Unknown	F9	6.35327294255489	3.97922826475939	4.09113175498914	2.80122168498012			SYBR Green I	Unchecked	None	0.9512	3.70826824693558			70
lzy-swb_03.lc96p	Rel Quant		F11	D1	slug		28.99	29.22	0.314006369362153	Unchecked	Unknown	Unknown	Target	Unknown	F9	6.17954235983662	3.87041605860103	3.9792595420057	2.72462213069449			SYBR Green I	Unchecked	None	1.0381	3.88798126561788			71
lzy-swb_03.lc96p	Rel Quant		F12	D1	slug		29.32	29.22	0.314006369362153	Unchecked	Unknown	Unknown	Target	Unknown	F9	4.91605140015899	3.07905718192803	3.16564614399542	2.16753630941353			SYBR Green I	Unchecked	None	1.0618	3.94767858950057			72
lzy-swb_03.lc96p	Rel Quant		G1	con	timp3		31.27	30.55125	1.32959110255747	Unchecked	Unknown	Run Calibrator	Target	Unknown	G1	0.763129604480279	0.136235306635293	0.607623679990234	0.580619621396331			SYBR Green I	Unchecked	None	0.9937	2.97479510852341			73
lzy-swb_03.lc96p	Rel Quant		G2	con	timp3		32.09	30.55125	1.32959110255747	Unchecked	Unknown	Run Calibrator	Target	Unknown	G1	0.432268615653931	0.0771693917477273	0.344183537692533	0.328887306283225			SYBR Green I	Unchecked	None	0.8659	3.02078788434373			74
lzy-swb_03.lc96p	Rel Quant		G3	con	timp3		31.75	30.55125	1.32959110255747	Unchecked	Unknown	Run Calibrator	Target	Unknown	G1	0.547146850630369	0.0976776664573617	0.435652582370343	0.416291276601116			SYBR Green I	Unchecked	None	0.8996	3.15929649287333			75
lzy-swb_03.lc96p	Rel Quant		G4	con	timp3		31.91	30.55125	1.32959110255747	Unchecked	Unknown	Run Calibrator	Target	Unknown	G1	0.489710148793463	0.087423960349079	0.389919983435971	0.37259112936661			SYBR Green I	Unchecked	None	0.9415	3.26800903005962			76
lzy-swb_03.lc96p	Rel Quant		G5	INF	timp3		29.02	29.31125	0.333827906904996	Unchecked	Unknown	Unknown	Target	Unknown	G5	5.55967287936935	3.55228260725355	4.42675644434603	5.02677992347021			SYBR Green I	Unchecked	None	1.0309	3.50512502683434			77
lzy-swb_03.lc96p	Rel Quant		G6	INF	timp3		29.1	29.31125	0.333827906904996	Unchecked	Unknown	Unknown	Target	Unknown	G5	5.25977104082028	3.36066412392255	4.18796678436536	4.75562358500569			SYBR Green I	Unchecked	None	0.8932	3.45767333281509			78
lzy-swb_03.lc96p	Rel Quant		G7	INF	timp3		29.83	29.31125	0.333827906904996	Unchecked	Unknown	Unknown	Target	Unknown	G5	3.17113654644114	2.02615755343267	2.52494156534833	2.86718407217534			SYBR Green I	Unchecked	None	0.8824	3.1623670363092			79
lzy-swb_03.lc96p	Rel Quant		G8	INF	timp3		29.66	29.31125	0.333827906904996	Unchecked	Unknown	Unknown	Target	Unknown	G5	3.56771407768037	2.27954574680574	2.84070693143858	3.22574976756547			SYBR Green I	Unchecked	None	0.955	3.2419422156549			80
lzy-swb_03.lc96p	Rel Quant		G9	D1	timp3		30	30.22625	0.567197055704629	Unchecked	Unknown	Unknown	Target	Unknown	G9	3.06842857139451	1.92184057100783	2.44316279881144	2.75710329259681			SYBR Green I	Unchecked	None	0.8229	3.48476160945254			81
lzy-swb_03.lc96p	Rel Quant		G10	D1	timp3		30.56	30.22625	0.567197055704629	Unchecked	Unknown	Unknown	Target	Unknown	G9	2.08132173920893	1.30358861764687	1.65720261276339	1.87014912897853			SYBR Green I	Unchecked	None	0.8975	2.98739038370164			82
lzy-swb_03.lc96p	Rel Quant		G11	D1	timp3		31.23	30.22625	0.567197055704629	Unchecked	Unknown	Unknown	Target	Unknown	G9	1.30812463143433	0.819314163628266	1.04156292426805	1.17540123373818			SYBR Green I	Unchecked	None	0.9296	3.38866200883608			83
lzy-swb_03.lc96p	Rel Quant		G12	D1	timp3		30.8	30.22625	0.567197055704629	Unchecked	Unknown	Unknown	Target	Unknown	G9	1.76234942619339	1.10380755124163	1.40322854399233	1.58354000838143			SYBR Green I	Unchecked	None	0.8106	2.84188568621464			84
lzy-swb_03.lc96p	Rel Quant		H1	con	timp3		29.61	30.55125	1.32959110255747	Unchecked	Unknown	Run Calibrator	Target	Unknown	G1	2.41161565538152	0.430526081505025	1.92019123703495	1.8348539495263			SYBR Green I	Unchecked	None	1.6082	4.70751168848424			85
lzy-swb_03.lc96p	Rel Quant		H2	con	timp3		29.72	30.55125	1.32959110255747	Unchecked	Unknown	Run Calibrator	Target	Unknown	G1	2.23457427614444	0.398920327454997	1.77922627678309	1.70015376494347			SYBR Green I	Unchecked	None	1.6339	4.67156321767345			86
lzy-swb_03.lc96p	Rel Quant		H3	con	timp3		29.06	30.55125	1.32959110255747	Unchecked	Unknown	Run Calibrator	Target	Unknown	G1	3.53081198516262	0.630327077663027	2.81132452362301	2.68638342165079			SYBR Green I	Unchecked	None	1.4961	4.5402583846888			87
lzy-swb_03.lc96p	Rel Quant		H4	con	timp3		29	30.55125	1.32959110255747	Unchecked	Unknown	Run Calibrator	Target	Unknown	G1	3.6807506024995	0.657094396594748	2.93070955848996	2.80046273756217			SYBR Green I	Unchecked	None	1.5533	4.68471824871582			88
lzy-swb_03.lc96p	Rel Quant		H5	INF	timp3		29.14	29.31125	0.333827906904996	Unchecked	Unknown	Unknown	Target	Unknown	G5	5.11594232510972	3.26876658672424	4.07344661241129	4.62558080798634			SYBR Green I	Unchecked	None	1.6042	4.71489000507554			89
lzy-swb_03.lc96p	Rel Quant		H6	INF	timp3		29.26	29.31125	0.333827906904996	Unchecked	Unknown	Unknown	Target	Unknown	G5	4.70762694887507	3.00787864587887	3.7483352682206	4.25640233647646			SYBR Green I	Unchecked	None	1.5743	4.65597378369946			90
lzy-swb_03.lc96p	Rel Quant		H7	INF	timp3		28.91	29.31125	0.333827906904996	Unchecked	Unknown	Unknown	Target	Unknown	G5	6.00015595714328	3.83372369379159	4.77748055086617	5.42504283210261			SYBR Green I	Unchecked	None	1.4908	4.53481373294995			91
lzy-swb_03.lc96p	Rel Quant		H8	INF	timp3		29.57	29.31125	0.333827906904996	Unchecked	Unknown	Unknown	Target	Unknown	G5	3.79736848380208	2.4262805224384	3.02356375491181	3.43339186865254			SYBR Green I	Unchecked	None	1.3487	4.29311309929532			92
lzy-swb_03.lc96p	Rel Quant		H9	D1	timp3		29.85	30.22625	0.567197055704629	Unchecked	Unknown	Unknown	Target	Unknown	G9	3.40463467004009	2.13241562777172	2.71085885685301	3.05919764480316			SYBR Green I	Unchecked	None	1.5383	4.56580803530039			93
lzy-swb_03.lc96p	Rel Quant		H10	D1	timp3		29.84	30.22625	0.567197055704629	Unchecked	Unknown	Unknown	Target	Unknown	G9	3.4283157769124	2.14724775141242	2.72971437132855	3.08047604715499			SYBR Green I	Unchecked	None	1.4221	4.38949079542818			94
lzy-swb_03.lc96p	Rel Quant		H11	D1	timp3		29.9	30.22625	0.567197055704629	Unchecked	Unknown	Unknown	Target	Unknown	G9	3.28866031450879	2.05977772323179	2.618517052422	2.95499014247671			SYBR Green I	Unchecked	None	1.4158	4.36345877166159			95
lzy-swb_03.lc96p	Rel Quant		H12	D1	timp3		29.63	30.22625	0.567197055704629	Unchecked	Unknown	Unknown	Target	Unknown	G9	3.96549234985065	2.48369610197595	3.15742835875219	3.56315024454745			SYBR Green I	Unchecked	None	1.4915	4.59731221316967			96
